"GEOID","water","developed","frac_22","frac_23","frac_24","frac_31","forest","frac_42","frac_43","frac_52","frac_71","pasture","cropland","wetland","frac_95","year","county_name","state_fips_code","county_code","n_farms","acres_operated","net_income","land_value_acre","pasture_2011","crp_acres_2011","crp_share_2011","cropland_lag","cropland_change","transition","transition_dir"
29001,0.00619144551455975,0.0374248325824738,0.016897339373827,0.00388944451697171,0.000859217368997633,0.000147067737998441,0.27561229467392,0.000392994290450588,0.00285623851232231,0.00013004447100684,0.000488879857584834,0.502230107784271,0.133992567658424,0.0171135161072016,0.00177400757092983,2001,NA,NA,NA,NA,NA,NA,NA,0.487678736448288,27223.8,0.0749787835632674,NA,NA,NA,NA
29001,0.0065087703987956,0.0376525707542896,0.0188042111694813,0.00470251776278019,0.00094343040836975,0.000172697808011435,0.273979872465134,0.000378348544472829,0.00280488724820316,0.000225866591790691,0.00144610123243183,0.487678736448288,0.146014496684074,0.0168651286512613,0.00182240037247539,2011,"ADAIR",29,1,915,269177,6399000,1012,0.487678736448288,27223.8,0.0749787835632674,0.133992567658424,0.01202192902565,0,0
29001,0.00646666344255209,0.0387566760182381,0.0195895116776228,0.00501511991024017,0.00117654190398753,0.000242875350522809,0.271206498146057,0.000623054627794772,0.00277849263511598,0.00290557602420449,0.00405786372721195,0.45505490899086,0.173431068658829,0.0167699325829744,0.00192525167949498,2021,"ADAIR",29,1,822,273155,8084000,2453,0.487678736448288,27223.8,0.0749787835632674,0.146014496684074,0.027416571974755,1,1
29003,0.00683087529614568,0.0346862301230431,0.0252777319401503,0.00379917304962873,0.000267646188149229,0.00177957117557526,0.154278457164764,8.20217683212832e-05,0.000907813722733408,7.32621556380764e-05,0.000184085380169563,0.314319908618927,0.438680022954941,0.0145037863403559,0.00432939687743783,2001,NA,NA,NA,NA,NA,NA,NA,0.286594599485397,16688.4,0.0602718226692862,NA,NA,NA,NA
29003,0.00723473774269223,0.0324411429464817,0.0302745290100574,0.00483523029834032,0.000332176510710269,0.00217331340536475,0.152035236358643,8.3614417235367e-05,0.000922370585612953,6.45025502308272e-05,0.000479864393128082,0.286594599485397,0.463980942964554,0.0138533599674702,0.00469437288120389,2011,"ANDREW",29,3,847,223295,5971000,1838,0.286594599485397,16688.4,0.0602718226692862,0.438680022954941,0.025300920009613,1,1
29003,0.00700866291299462,0.0341162756085396,0.0310304090380669,0.00501672504469752,0.00040376596734859,0.002731699263677,0.150014489889145,0.000202267270651646,0.000919185287784785,0.000706342747434974,0.00173552916385233,0.254222512245178,0.49433821439743,0.0126230614259839,0.00493086082860827,2021,"ANDREW",29,3,826,198588,16812000,3558,0.286594599485397,16688.4,0.0602718226692862,0.463980942964554,0.030357271432876,1,1
29005,0.00631380314007401,0.0284038260579109,0.015218055807054,0.00274704257026315,0.000282791908830404,0.000139437048346736,0.0571667142212391,0.000111803448817227,0.000228660166612826,4.42160535385483e-06,0.00224667554721236,0.108095280826092,0.760454297065735,0.00966658163815737,0.00892055965960026,2001,NA,NA,NA,NA,NA,NA,NA,0.0746442154049873,7977.5,0.0227758012266499,NA,NA,NA,NA
29005,0.0107968878000975,0.0268356297165155,0.0175495054572821,0.00366731034591794,0.000410637789173052,0.000827861716970801,0.0558806248009205,0.000112435111077502,0.000205288830329664,6.94823711455683e-06,0.00203423597849905,0.0746442154049873,0.788797676563263,0.00749030569568276,0.0107404002919793,2011,"ATCHISON",29,5,465,317652,14681000,1642,0.0746442154049873,7977.5,0.0227758012266499,0.760454297065735,0.0283433794975281,1,1
29005,0.00663804262876511,0.0272678639739752,0.0180928763002157,0.00430574081838131,0.000447022961452603,0.00103601510636508,0.0547695197165012,0.000125699923955835,0.000204657160793431,0.000106750187114812,0.00446915859356523,0.0616335086524487,0.799358069896698,0.005715596023947,0.0158294998109341,2021,"ATCHISON",29,5,395,263088,78888000,4862,0.0746442154049873,7977.5,0.0227758012266499,0.788797676563263,0.0105603933334349,0,0
29007,0.00645648175850511,0.0314736664295197,0.0233867987990379,0.00457754451781511,0.00116342213004827,0.000633823219686747,0.0986564606428146,6.88179425196722e-05,0.000412790104746819,1.64564644364873e-05,8.42045337776653e-05,0.203278616070747,0.609044075012207,0.0200422797352076,0.000704574806150049,2001,NA,NA,NA,NA,NA,NA,NA,0.190428778529167,12305,0.0277740718464906,NA,NA,NA,NA
